"","Strain","Replicate","Phylum","Family","Genus","Run","TI_norm_MBOA","TI_norm_AMPO","TI_norm_APO","TI_norm_BOA","TI_norm_DMG"
"1","LAC11","1","Proteobacteria","Moraxellaceae","Moraxellaceae","R1",0.225146270258105,0.919809040716856,0.18774232597992,0.595338195626655,NA
"2","LAC11","1","Proteobacteria","Moraxellaceae","Moraxellaceae","R2",0.199193838917384,1.14558422820282,0.29417368705016,0.745361550869614,1.04633697028447
"3","LAC11","2","Proteobacteria","Moraxellaceae","Moraxellaceae","R1",0.172787487464378,0.92819197783345,0.182885305790529,0.62331351312884,NA
"4","LAC11","2","Proteobacteria","Moraxellaceae","Moraxellaceae","R2",0.196553054789898,1.09951546070946,0.373133849777214,0.717187978866155,0.969839020085609
"5","LAC11","3","Proteobacteria","Moraxellaceae","Moraxellaceae","R1",0.153194358476649,0.941250856039315,0.176134640274388,0.644833108588671,NA
"6","LAC11","3","Proteobacteria","Moraxellaceae","Moraxellaceae","R2",0.149473950561189,1.03978401163201,0.342821001402953,0.729253251476545,0.955868926816778
"7","LAR21","1","Actinobacteriota","Micrococcaceae","Paenarthrobacter","R1",0.45625331674062,0.725490148406814,0.381873065703301,0.751801794700315,NA
"8","LAR21","1","Actinobacteriota","Micrococcaceae","Paenarthrobacter","R2",0.60132894910304,0.708138768065982,0.784580404831015,0.644506875096439,0.385717602202559
"9","LAR21","2","Actinobacteriota","Micrococcaceae","Paenarthrobacter","R1",0.338894499662688,0.886116176567648,0.482608930338077,0.591968771150001,NA
"10","LAR21","2","Actinobacteriota","Micrococcaceae","Paenarthrobacter","R2",0.57475425996706,0.633650075718692,0.84164268406463,0.501851724157892,0.689255524180395
"11","LAR21","3","Actinobacteriota","Micrococcaceae","Paenarthrobacter","R1",0.388413955294276,0.528313676888527,0.329750602354573,1.13319555890075,NA
"12","LAR21","3","Actinobacteriota","Micrococcaceae","Paenarthrobacter","R2",0.351097084205934,0.588861756666891,0.903336448200791,0.683629982996168,0.938142930987025
"13","LBA1","1","Firmicutes","Bacillaceae","Bacillus","R1",0.652426224923426,0.767879687544225,0.835798905480129,0.873508558452327,NA
"14","LBA1","1","Firmicutes","Bacillaceae","Bacillus","R2",0.803594843989346,0.422209024522334,0.767372341329794,0.867469099904236,0.68241048194325
"15","LBA1","2","Firmicutes","Bacillaceae","Bacillus","R1",0.82851567824965,0.836090789740788,1.29356483248224,0.958857325880909,NA
"16","LBA1","2","Firmicutes","Bacillaceae","Bacillus","R2",0.752295153094747,0.468796895122717,0.579755327154552,1.02687306661786,0.595588780208894
"17","LBA1","3","Firmicutes","Bacillaceae","Bacillus","R1",0.743875236698615,0.664284440006152,1.1246264444132,1.03809793333364,NA
"18","LBA1","3","Firmicutes","Bacillaceae","Bacillus","R2",0.817522048705882,0.628019500679199,1.05513503216927,0.982130161438226,0.733327715552236
"19","LBA112","1","Firmicutes","Bacillaceae","Bacillus","R1",0.91532645293323,0.58099140544804,1.25572145398483,0.741591837504612,NA
"20","LBA112","1","Firmicutes","Bacillaceae","Bacillus","R2",0.87299597965762,0.774106522701551,1.45863244602651,0.893935924579126,0.804238161774181
"21","LBA112","2","Firmicutes","Bacillaceae","Bacillus","R1",0.811704463684873,0.750167484474628,0.804373839354802,0.862934079762005,NA
"22","LBA112","2","Firmicutes","Bacillaceae","Bacillus","R2",0.811532010038392,0.700746803181769,1.94348304495884,0.786997957980105,0.802468823344594
"23","LBA112","3","Firmicutes","Bacillaceae","Bacillus","R1",1.36166179020353,1.0040290215014,1.06072383715689,0.678946911316212,NA
"24","LBA112","3","Firmicutes","Bacillaceae","Bacillus","R2",0.781561169498639,0.705640325459023,1.84643193038157,0.858203590730712,1.01783572782974
"25","LBA20","1","Firmicutes","Bacillaceae","Bacillus","R1",0.762347272317344,0.655786028994101,0.734918185497208,0.822338339933457,NA
"26","LBA20","1","Firmicutes","Bacillaceae","Bacillus","R2",0.891302442015735,1.4623016639319,1.61038980693823,0.803180054810041,0.947328088516618
"27","LBA20","2","Firmicutes","Bacillaceae","Bacillus","R1",0.762097035187891,0.59878430697249,0.635350093444103,0.789242712148613,NA
"28","LBA20","2","Firmicutes","Bacillaceae","Bacillus","R2",0.832758506316626,0.795999703251463,1.25661296662999,1.01463797811009,1.23983674944696
"29","LBA20","3","Firmicutes","Bacillaceae","Bacillus","R1",0.824938081751748,0.587051057011921,0.826241973442036,0.829551375194325,NA
"30","LBA20","3","Firmicutes","Bacillaceae","Bacillus","R2",0.809233081488035,0.789387388636353,1.09472721298353,0.795936265193566,0.913667696723297
"31","LBA21","1","Firmicutes","Bacillaceae","Bacillus","R1",0.58963771888592,0.828596230775355,0.324452632096295,0.884953049503235,NA
"32","LBA21","1","Firmicutes","Bacillaceae","Bacillus","R2",0.626564018878451,0.851235578290933,1.642745965321,0.928120440847241,1.23281384548249
"33","LBA21","2","Firmicutes","Bacillaceae","Bacillus","R1",0.52832266696805,0.772069755591126,0.591608218301863,0.982467254236145,NA
"34","LBA21","2","Firmicutes","Bacillaceae","Bacillus","R2",0.700010163055451,0.766994842792313,2.10176193728364,0.843437718494134,1.25784487822484
"35","LBA21","3","Firmicutes","Bacillaceae","Bacillus","R1",0.635475679062514,0.814334982503893,0.293909686081795,0.866390842372602,NA
"36","LBA21","3","Firmicutes","Bacillaceae","Bacillus","R2",0.658979846401806,0.607199524813227,3.79884574348621,0.860446272858115,1.10375846574926
"37","LBA3","1","Firmicutes","Bacillaceae","Bacillus","R1",0.883320057172246,0.751265764626522,0.313035029154199,0.576736601375776,NA
"38","LBA3","1","Firmicutes","Bacillaceae","Bacillus","R2",0.657722632496618,0.490444807745165,0.659969259951688,1.32626113626206,1.1855070483354
"39","LBA3","2","Firmicutes","Bacillaceae","Bacillus","R1",0.866122790262161,0.702030177500879,0.733695276373303,1.43990667815526,NA
"40","LBA3","2","Firmicutes","Bacillaceae","Bacillus","R2",0.811358500753111,0.48415676271446,0.85027041246871,1.56757876718065,1.43574565612129
"41","LBA3","3","Firmicutes","Bacillaceae","Bacillus","R1",0.900557236119722,0.726564535820943,0.459314500696672,1.44552993874165,NA
"42","LBA3","3","Firmicutes","Bacillaceae","Bacillus","R2",0.853013742529761,0.630294024658985,0.732259071584876,1.28325662432102,1.64337778973288
"43","LBA71","2","Firmicutes","Bacillaceae","Bacillus","R1",0.8354291622072,1.01567876438926,0.278293865748508,1.10665610735661,NA
"44","LBA71","2","Firmicutes","Bacillaceae","Bacillus","R2",0.867314679388727,0.525590697541782,0.436607572464586,0.981693523221331,1.04000581811733
"45","LBA71","3","Firmicutes","Bacillaceae","Bacillus","R1",0.734596152025141,1.15050298927332,0.417223453632713,0.751862922827581,NA
"46","LBA71","3","Firmicutes","Bacillaceae","Bacillus","R2",0.92527218032369,0.51453983846732,0.328556389441188,1.03309973709168,1.49461659160593
"47","LMA1","1","Proteobacteria","Sphingomonadaceae","Sphingobium","R1",0.525022393591185,0.794169668393717,0.9839952352048,0.258929680397493,NA
"48","LMA1","1","Proteobacteria","Sphingomonadaceae","Sphingobium","R2",0.455432236881547,0.88475304677993,0.794513118188192,0.198439290232207,1.05013335006823
"49","LMA1","2","Proteobacteria","Sphingomonadaceae","Sphingobium","R1",0.505229192436086,0.794173708752797,0.887173773478419,0.236960956769438,NA
"50","LMA1","2","Proteobacteria","Sphingomonadaceae","Sphingobium","R2",0.499371523231809,0.870598808795128,1.01640704086702,0.23830068774053,1.23886827618658
"51","LMA1","3","Proteobacteria","Sphingomonadaceae","Sphingobium","R1",0.476856268234865,0.551609437636151,0.843928458619607,0.245736385074533,NA
"52","LMA1","3","Proteobacteria","Sphingomonadaceae","Sphingobium","R2",0.448329972359081,0.854105428890194,1.16759427608909,0.323672792018351,1.06460737694986
"53","LMB2","1","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.718382271716182,0.947661838660959,0.735980697680308,0.755474302959873,NA
"54","LMB2","1","Actinobacteria","Microbacteriaceae","Micrococcineae","R2",0.791211724221388,0.850952743441262,0.856565466634231,0.867008408288966,1.06442415730211
"55","LMB2","2","Actinobacteria","Microbacteriaceae","Micrococcineae","R1",0.660680463074894,0.948510279855055,0.993672317170251,0.68562531363681,NA
