"","sample_ID","replicate","background","genotype","soil","compartment","groups","empty_weight","full_weight","weight","dil_DMSO","count_DMSO","CFU_DMSO","dil_DMSO_2","count_DMSO_2","CFU_DMSO_2","count_big_red","CFU_big_red","percent_red"
"1","B73-WT-Ch-1-root",1,"B73","WT","Ch","root","B73_WT_Ch_root",22919,24238,1319,10,13,4927.97573919636,10,17,6444.27596664139,0,0,0
"2","B73-WT-Ch-2-root",2,"B73","WT","Ch","root","B73_WT_Ch_root",23091,23638,547,1000,129,11791590.4936015,1000,130,11882998.1718464,14,51188.2998171846,0.430769230769231
"3","B73-WT-Ch-3-root",3,"B73","WT","Ch","root","B73_WT_Ch_root",23044,23693,649,1000,16,1232665.6394453,1000,24,1848998.45916795,19,58551.6178736518,3.16666666666667
"4","B73-WT-Ch-4-root",4,"B73","WT","Ch","root","B73_WT_Ch_root",23062,23503,441,1000,80,9070294.7845805,1000,114,12925170.0680272,89,403628.117913832,3.12280701754386
"5","B73-WT-Ch-5-root",5,"B73","WT","Ch","root","B73_WT_Ch_root",22757,23171,414,1000,77,9299516.90821256,1000,77,9299516.90821256,29,140096.618357488,1.50649350649351
"6","B73-WT-Ch-6-root",6,"B73","WT","Ch","root","B73_WT_Ch_root",23251,23787,536,10000,27,25186567.1641791,1000,175,16324626.8656716,140,522388.059701492,3.2
"7","B73-WT-Ch-7-root",7,"B73","WT","Ch","root","B73_WT_Ch_root",23034,23546,512,1000,66,6445312.5,1000,68,6640625,42,164062.5,2.47058823529412
"8","B73-WT-Ch-8-root",8,"B73","WT","Ch","root","B73_WT_Ch_root",23166,24341,1175,1000,21,893617.021276596,1000,32,1361702.12765957,32,54468.085106383,4
"9","B73-WT-Ch-9-root",9,"B73","WT","Ch","root","B73_WT_Ch_root",23093,23320,227,1000,29,6387665.19823789,1000,37,8149779.73568282,12,105726.872246696,1.2972972972973
"10","B73-WT-Ch-10-root",10,"B73","WT","Ch","root","B73_WT_Ch_root",23026,23373,347,1000,24,3458213.25648415,1000,25,3602305.47550432,16,92219.0201729107,2.56
"11","B73-bx1-Ch-1-root-1000",1,"B73","bx1","Ch","root","B73_bx1_Ch_root-1000",23092,23809,717,1000,53,3695955.36959554,1000,60,4184100.41841004,18,50209.2050209205,NA
"12","B73-bx1-Ch-2-root-1000",2,"B73","bx1","Ch","root","B73_bx1_Ch_root-1000",23090,23907,817,10000,29,17747858.0171359,1000,145,8873929.00856793,184,450428.396572827,NA
