"","sample_ID","replicate","species","compartment","groups","tube","tube_root","sample_weight","Dil_TSB_Chex","Count_dil_TSB_Chex","CFU_TSB_Chex","CFU_TSB_Chex_w","Dil_TSB_Chex_6d","Count_dil_TSB_Chex_6d","CFU_TSB_Chex_6d","CFU_TSB_Chex_w_6d"
"1","B73_WT-root-1",1,"B73_WT","root","B73_WT-root",23430,23792,0.362,1000,93,46500000,128453038.674033,1000,110,5.5e+07,151933701.657459
"2","B73_WT-root-2",2,"B73_WT","root","B73_WT-root",22900,23077,0.177,10000,54,2.7e+08,1525423728.81356,10000,57,2.85e+08,1610169491.52542
"3","B73_WT-root-3",3,"B73_WT","root","B73_WT-root",23080,23588,0.508,1000,60,3e+07,59055118.1102362,1000,73,36500000,71850393.7007874
"4","B73_WT-root-4",4,"B73_WT","root","B73_WT-root",23214,23999,0.785,1000,15,7500000,9554140.12738854,1000,35,17500000,22292993.6305732
"5","B73_WT-root-5",5,"B73_WT","root","B73_WT-root",23166,23782,0.616,1000,80,4e+07,64935064.9350649,1000,105,52500000,85227272.7272727
"6","B73_WT-root-6",6,"B73_WT","root","B73_WT-root",23966,24392,0.426,1000,65,32500000,76291079.8122066,1000,80,4e+07,93896713.6150235
"7","B73_WT-root-7",7,"B73_WT","root","B73_WT-root",22204,22792,0.588,1000,11,5500000,9353741.49659864,1000,69,34500000,58673469.3877551
"8","B73_WT-root-8",8,"B73_WT","root","B73_WT-root",22342,22967,0.625,10000,92,4.6e+08,7.36e+08,10000,38,1.9e+08,3.04e+08
"9","B73_WT-root-9",9,"B73_WT","root","B73_WT-root",23150,23582,0.432,1000,56,2.8e+07,64814814.8148148,1000,100,5e+07,115740740.740741
"10","B73_WT-root-10",10,"B73_WT","root","B73_WT-root",22331,22815,0.484,1000,65,32500000,67148760.3305785,1000,74,3.7e+07,76446280.9917355
"11","B73_bx1-root-1",1,"B73_bx1","root","B73_bx1-root",23044,23729,0.685,1000,60,3e+07,43795620.4379562,1000,74,3.7e+07,54014598.540146
"12","B73_bx1-root-2",2,"B73_bx1","root","B73_bx1-root",23369,23787,0.418,1000,61,30500000,72966507.1770335,1000,78,3.9e+07,93301435.4066986
"13","B73_bx1-root-3",3,"B73_bx1","root","B73_bx1-root",21663,22705,1.042,1000,67,33500000,32149712.0921305,1000,85,42500000,40786948.1765835
"14","B73_bx1-root-4",4,"B73_bx1","root","B73_bx1-root",23472,23923,0.451,1000,24,1.2e+07,26607538.8026608,1000,72,3.6e+07,79822616.4079823
"15","B73_bx1-root-5",5,"B73_bx1","root","B73_bx1-root",23136,23816,0.68,1000,27,13500000,19852941.1764706,1000,45,22500000,33088235.2941176
"16","B73_bx1-root-6",6,"B73_bx1","root","B73_bx1-root",23242,23750,0.508,1000,29,14500000,28543307.0866142,1000,44,2.2e+07,43307086.6141732
"17","B73_bx1-root-7",7,"B73_bx1","root","B73_bx1-root",22771,23133,0.362,1000,28,1.4e+07,38674033.1491713,1000,38,1.9e+07,52486187.8453039
"18","B73_bx1-root-8",8,"B73_bx1","root","B73_bx1-root",22113,22269,0.156,1000,18,9e+06,57692307.6923077,1000,31,15500000,99358974.3589744
"19","B73_bx1-root-9",9,"B73_bx1","root","B73_bx1-root",23290,24230,0.94,1000,75,37500000,39893617.0212766,1000,115,57500000,61170212.7659575
"20","B73_bx1-root-10",10,"B73_bx1","root","B73_bx1-root",23308,24032,0.724,NA,NA,NA,NA,NA,NA,NA,NA
