"","Plate.ID","qPCR.DNA.ID","Sample.ID","Location","Background","Genotype","Compartment","Replicate","Field_ID","Well","qPCR.Method","LinRegPCR","qPCR.Replicate","indiv.PCR.eff.ZmActin1A","R2.ZmActin1A","threshold.ZmActin1A","Cq.ZmActin1A","indiv.PCR.eff.ZmActin1B","R2.ZmActin1B","threshold.ZmActin1B","Cq.ZmActin1B","indiv.PCR.eff.799F904R","R2.799F904R","threshold.799F904R","Cq.799F904R","Mean.PCR.eff.799F904R","RB"
"1","C302SOLT","C302SOLT_Aurora_W22_bx1_root_1_13.9_1","Aurora_W22_bx1_root_1_13.9","Aurora","W22","bx1","root",1,13.9,"G3","HOT FIREPOL","Multi per target",1,1.80178664452049,0.998962090292924,0.382,26.7719752303189,1.80285825702092,0.999919973993519,0.4285,24.8421085366871,2.01634017611222,0.99863156835853,0.0405,23.620437694666,1.41174202394875,8433.47995516933
"2","C302SOLT","C302SOLT_Aurora_W22_bx1_root_2_13.2_1","Aurora_W22_bx1_root_2_13.2","Aurora","W22","bx1","root",2,13.2,"I1","HOT FIREPOL","Multi per target",1,1.8437497803558,0.999778995785072,0.382,28.447232033365,1.80150676450776,0.999434798361291,0.4285,26.8400017577274,2.35592661761118,0.998929518320708,0.0405,25.8748365282918,1.41174202394875,11360.9400413519
"3","C302SOLT","C302SOLT_Aurora_W22_bx1_root_4_13.4_1","Aurora_W22_bx1_root_4_13.4","Aurora","W22","bx1","root",4,13.4,"C5","HOT FIREPOL","Multi per target",1,1.91486103261753,0.999546594873722,0.382,28.4160075055501,1.89205067288625,0.999795590569364,0.4285,26.6855777773656,1.59916191980961,0.98473628508657,0.0405,25.6743770443731,1.41174202394875,11932.4494505101
"4","C302SOLT","C302SOLT_Aurora_W22_bx1_root_5_13.11_1","Aurora_W22_bx1_root_5_13.11","Aurora","W22","bx1","root",5,13.11,"M3","HOT FIREPOL","Multi per target",1,1.81180226012073,0.999921522994252,0.382,27.8443254571222,1.89761182197865,0.999556129696547,0.4285,26.0670789265369,1,0,0.0405,0,1.41174202394875,57840952.6523641
"5","C302SOLT","C302SOLT_Aurora_W22_bx1_root_6_13.6_1","Aurora_W22_bx1_root_6_13.6","Aurora","W22","bx1","root",6,13.6,"E5","HOT FIREPOL","Multi per target",1,1.85889320245809,0.999589981435202,0.382,28.0863833863042,1.91855966603609,0.999392950402576,0.4285,26.2808061277175,2.29780033975853,0.998204357172159,0.0405,25.6879689768156,1.41174202394875,9611.78307609657
"6","C302SOLT","C302SOLT_Aurora_W22_bx1_root_7_13.7_1","Aurora_W22_bx1_root_7_13.7","Aurora","W22","bx1","root",7,13.7,"G7","HOT FIREPOL","Multi per target",1,1.91988954520827,0.999302392831283,0.382,27.6845251340151,1.93799548599705,0.998220517130236,0.4285,25.4131365305232,2.11253269449384,0.980176173402447,0.0405,26.1662444441934,1.41174202394875,6297.27382549114
"7","C302SOLT","C302SOLT_Aurora_W22_bx1_root_8_13.13_1","Aurora_W22_bx1_root_8_13.13","Aurora","W22","bx1","root",8,13.13,"A3","HOT FIREPOL","Multi per target",1,1.9134226301586,0.999395870018356,0.382,27.5760091822152,1.94928463321822,0.999475781795946,0.4285,25.8075168246683,1.62784399781976,0.960238254800412,0.0405,24.9086153044296,1.41174202394875,9062.29061674637
"8","C302SOLT","C302SOLT_Aurora_W22_bx1_root_NA_NA_1","Aurora_W22_bx1_root_NA_NA","Aurora","W22","bx1","root",NA,NA,"E23","HOT FIREPOL","Multi per target",1,1.85798346380392,0.999901116764948,0.382,31.4755505702453,1.84376250845598,0.999833708664711,0.4285,28.8571928362547,1.64576639341849,0.978974658601181,0.0405,30.241206621244,1.41174202394875,17609.1866732426
"9","C302SOLT","C302SOLT_Aurora_W22_bx2_root_1_14.1_1","Aurora_W22_bx2_root_1_14.1","Aurora","W22","bx2","root",1,14.1,"E3","HOT FIREPOL","Multi per target",1,1.86996105022906,0.998295462433779,0.382,27.5204375863521,1.82136164705433,0.999288247750406,0.4285,25.136632118462,1.48740286390958,0.999566325377769,0.0405,23.9919648755596,1.41174202394875,11995.5301151866
"10","C302SOLT","C302SOLT_Aurora_W22_bx2_root_2_14.2_1","Aurora_W22_bx2_root_2_14.2","Aurora","W22","bx2","root",2,14.2,"G5","HOT FIREPOL","Multi per target",1,1.85405915872062,0.999427192247766,0.382,27.8850384871083,1.92703052786183,0.999492593188687,0.4285,25.7496197440513,1.73680068058323,0.993987650743249,0.0405,25.5676460647953,1.41174202394875,8804.27330495859
