OTUId	R44_1193R_F67_799F	R45_1193R_F61_799F	R44_1193R_F71_799F	R44_1193R_F69_799F	R44_1193R_F63_799F	R44_1193R_F65_799F	R45_1193R_F63_799F	R45_1193R_F65_799F	R45_1193R_F67_799F	R43_1193R_F65_799F	R43_1193R_F63_799F	R43_1193R_F67_799F	R43_1193R_F69_799F	R43_1193R_F61_799F	R43_1193R_F71_799F	R44_1193R_F61_799F	R46_1193R_F63_799F	R46_1193R_F61_799F	R46_1193R_F65_799F	R45_1193R_F71_799F	R46_1193R_F67_799F	R45_1193R_F69_799F	R4_1193R_F20_799F	R4_1193R_F19_799F	R4_1193R_F21_799F	R4_1193R_F18_799F	R3_1193R_F35_799F	R3_1193R_F34_799F	R3_1193R_F33_799F	R3_1193R_F36_799F	R3_1193R_F37_799F	R3_1193R_F31_799F	R3_1193R_F32_799F	R3_1193R_F30_799F	R4_1193R_F17_799F	R3_1193R_F38_799F	R4_1193R_F27_799F	R4_1193R_F28_799F	R4_1193R_F29_799F	R4_1193R_F25_799F	R4_1193R_F26_799F	R4_1193R_F30_799F	R4_1193R_F31_799F	R4_1193R_F22_799F	R4_1193R_F23_799F	R4_1193R_F24_799F	R3_1193R_F21_799F	R3_1193R_F22_799F	R3_1193R_F19_799F	R3_1193R_F18_799F	R3_1193R_F17_799F	R3_1193R_F20_799F	R3_1193R_F27_799F	R3_1193R_F26_799F	R3_1193R_F28_799F	R3_1193R_F25_799F	R3_1193R_F29_799F	R3_1193R_F23_799F	R3_1193R_F24_799F	R41_1193R_F71_799F	R41_1193R_F69_799F	R42_1193R_F61_799F	R41_1193R_F67_799F	R41_1193R_F65_799F	R42_1193R_F71_799F	R42_1193R_F69_799F	R42_1193R_F67_799F	R42_1193R_F63_799F	R42_1193R_F65_799F	R40_1193R_F65_799F	R40_1193R_F63_799F	R40_1193R_F67_799F	R4_1193R_F34_799F	R4_1193R_F33_799F	R4_1193R_F35_799F	R4_1193R_F32_799F	R4_1193R_F36_799F	R40_1193R_F61_799F	R4_1193R_F37_799F	R4_1193R_F38_799F	R41_1193R_F61_799F	R41_1193R_F63_799F	R40_1193R_F71_799F	R40_1193R_F69_799F
OTU85	46	50	20	14	75	128	175	182	46	100	75	35	68	62	50	111	137	22	75	95	80	62	147	318	125	80	43	25	116	8	10	126	46	192	52	48	106	25	125	62	58	433	181	513	98	84	1358	886	106	42	24	764	92	59	36	68	64	653	358	33	38	18	16	132	17	16	18	57	66	76	105	27	14	3	35	216	24	19	33	22	16	64	34	31
OTU319	47	98	3	0	15	31	13	9	8	6	18	2	36	280	17	8	2	8	175	106	30	333	12	5	6	0	5	1	2	2	4	0	1	5	3	3	6	1	3	1	7	4	2	5	0	2	37	76	5	11	1	28	0	3	102	34	16	38	15	15	14	4	14	5	2	1	6	2	63	119	8	10	1	0	10	3	33	6	8	1	4	6	8	0
OTU179	260	332	5	2	9	276	241	15	15	18	523	13	276	358	370	12	13	16	556	725	325	819	29	47	6	3	12	2	11	9	9	10	0	15	8	7	8	5	2	11	44	32	2	8	4	13	166	160	5	30	2	91	11	2	214	58	44	95	37	126	152	8	32	10	13	4	287	6	209	226	6	176	1	0	38	16	37	8	18	6	90	101	4	3
OTU406	57	4	1	0	0	24	7	7	5	11	95	3	406	88	75	0	4	2	19	90	71	314	0	3	0	1	0	0	0	0	0	0	0	0	0	4	1	2	0	2	0	1	1	0	0	0	4	0	0	1	0	1	0	0	3	5	5	0	1	87	433	8	33	16	29	5	290	8	60	4	4	9	0	0	2	2	3	0	2	4	25	80	9	0
OTU439	108	65	111	5	149	106	112	82	674	124	78	98	167	76	96	147	319	59	114	456	307	78	9	20	863	74	6	8	5	10	7	12	27	12	27	246	8	133	145	263	12	9	68	114	97	11	98	146	124	48	296	31	13	25	52	33	29	41	22	121	29	96	56	87	234	4	69	122	35	56	140	73	18	30	14	7	15	129	7	20	50	105	125	34
OTU142	124	29	144	74	121	89	39	29	105	128	104	150	206	81	244	80	51	19	40	105	75	28	0	5	9	5	1	0	6	0	0	2	0	1	3	2	0	1	2	0	0	3	4	1	0	2	10	2	9	0	1	0	0	0	0	0	1	2	10	139	67	113	90	70	306	154	399	257	154	6	9	13	19	0	0	4	0	7	1	0	44	77	21	10
OTU105	192	192	34	6	3	349	125	22	75	32	341	16	1499	214	413	13	11	11	254	1133	414	1462	3	4	26	6	0	6	1	2	8	2	5	6	0	24	1	4	0	14	1	7	0	9	4	3	12	54	9	10	9	7	0	3	13	15	2	0	4	182	402	6	9	2	4	3	219	18	54	269	3	196	2	4	1	3	15	11	4	15	16	93	24	15
OTU1564	114	11	51	1	89	23	177	11	49	27	135	36	31	39	31	8	225	8	42	130	212	25	7	9	68	52	2	4	3	6	3	3	16	8	2	44	1	51	8	83	4	6	16	48	6	7	13	30	20	18	21	11	5	6	8	15	6	3	7	133	36	40	42	50	161	1	36	105	46	3	10	7	14	10	4	2	2	4	8	1	27	181	10	2
OTU91	1362	1004	143	46	229	1845	900	422	857	332	1262	178	5817	1045	2329	290	238	159	3347	7021	3668	12580	30	44	162	21	13	10	27	31	129	7	11	38	12	111	14	19	15	53	59	101	34	27	12	13	265	448	45	103	68	65	20	5	101	97	71	36	22	1724	2389	62	282	328	227	35	1139	77	647	803	142	1067	16	4	35	29	219	146	75	178	189	764	458	231
OTU208	240	202	6	8	39	139	127	36	76	20	225	61	250	318	214	67	27	30	276	389	371	87	11	57	9	9	12	2	29	5	19	11	7	63	15	2	25	3	8	9	24	49	11	20	35	21	57	58	15	16	2	57	7	9	9	12	97	113	131	251	80	21	119	35	21	3	99	10	128	185	25	126	1	2	6	25	38	42	32	8	79	116	46	12
OTU20	659	1141	300	73	1261	1078	947	728	1228	406	572	470	614	865	2550	1106	625	649	1928	2339	2512	627	1519	700	772	171	360	437	574	357	86	477	302	1553	474	639	1037	385	788	1451	411	1544	582	2066	3136	799	6161	3546	489	106	403	4071	305	1536	639	567	240	2480	1284	750	288	709	275	522	280	41	461	186	801	555	427	605	136	97	99	521	121	325	61	68	202	606	877	101
OTU182	827	449	69	10	46	337	488	104	371	126	515	126	386	797	387	164	121	114	901	1595	1282	370	178	428	97	30	107	9	115	15	25	50	18	171	136	51	115	35	93	87	166	154	68	179	159	142	700	730	118	29	38	379	34	48	110	106	80	527	371	760	302	93	305	140	57	26	351	56	418	852	123	663	11	5	47	221	39	142	41	28	293	395	210	52
OTU313	244	378	17	6	48	246	198	77	206	42	325	60	269	948	170	60	84	31	775	553	504	849	132	260	135	39	71	6	31	11	103	25	18	81	45	59	33	49	36	112	131	120	22	61	26	63	479	787	48	200	57	213	104	15	210	311	172	180	138	268	184	43	153	28	57	7	201	42	353	252	9	75	6	4	106	89	134	27	80	114	154	131	19	6
OTU1050	14	11	4	0	50	11	8	8	41	8	29	5	16	11	4	6	50	0	23	39	42	11	2	1	77	10	0	2	0	0	1	1	4	1	2	10	1	6	6	25	1	1	4	7	1	2	7	7	7	6	27	1	1	4	7	2	3	2	3	16	8	6	5	12	8	0	8	19	4	1	1	1	1	3	0	2	2	0	2	1	3	52	3	0
OTU2	6800	2121	1727	187	1638	1591	3165	2295	21286	2034	4554	4685	16970	3082	7884	847	3458	1242	6385	22519	11060	9347	40	75	107	35	22	13	17	24	15	6	12	32	4	68	3	22	43	44	42	31	18	72	77	8	61	115	72	31	24	93	1	23	22	37	14	29	24	13574	8726	1334	3127	2874	6684	213	5090	1023	1474	4762	4282	9998	9	13	12	31	9	2766	20	15	1243	1470	7154	7124
OTU18	205	464	115	23	1321	169	279	218	2120	1711	438	257	539	191	799	532	395	150	392	1145	927	111	223	443	305	294	24	142	34	32	7	28	49	62	72	248	29	101	686	162	199	89	270	3182	459	37	699	474	2753	43	352	693	36	79	42	66	65	282	277	158	187	316	52	636	398	14	301	307	257	387	658	222	63	11	7	147	14	351	5	16	76	277	1012	41
OTU190	178	425	21	4	126	132	110	104	237	54	79	66	157	282	146	72	72	54	791	573	304	692	22	23	245	24	7	13	3	10	13	9	15	12	9	91	6	42	53	101	17	14	24	81	32	24	99	252	70	102	130	41	13	13	188	57	32	40	27	119	51	30	48	37	32	3	44	20	72	143	25	79	11	7	12	6	69	73	16	13	34	51	50	31
OTU96	855	192	157	25	77	176	995	123	739	130	616	475	441	955	203	149	561	121	270	1546	2448	165	76	120	68	31	34	15	26	14	4	14	15	94	21	64	9	79	41	64	63	25	124	53	220	33	41	84	121	9	9	119	2	35	8	22	42	351	77	864	352	131	306	224	178	13	553	218	394	814	344	1045	11	13	5	89	5	335	8	2	423	821	566	99
OTU503	42	53	2	0	11	30	13	11	8	10	39	23	35	148	22	13	21	5	115	68	59	163	39	64	41	7	18	3	13	3	21	9	13	31	21	42	18	19	9	22	66	28	6	17	9	48	107	143	42	74	14	126	28	10	98	54	59	101	58	37	28	18	26	22	7	0	37	8	76	97	0	6	4	2	37	27	37	8	35	18	14	32	2	2
OTU197	220	22	127	3	9	9	429	36	324	18	171	105	220	132	18	18	42	1	17	571	313	117	0	3	2	0	0	1	2	1	2	0	2	0	0	14	1	2	1	7	2	0	1	2	0	0	0	0	7	0	0	0	2	2	0	3	0	2	1	443	641	41	100	160	363	5	283	46	89	60	39	81	1	2	1	1	0	14	1	4	49	123	57	16
OTU34	897	272	470	24	84	47	911	204	3160	51	513	1115	2228	323	304	76	173	14	31	2147	651	627	9	11	13	15	6	2	0	17	4	0	13	1	4	55	1	5	4	26	15	1	9	46	15	2	7	10	55	5	6	9	1	3	1	8	0	5	3	1901	1759	312	885	959	1922	30	925	369	209	103	198	221	15	4	2	3	1	86	2	2	162	350	471	203
OTU28	971	665	245	15	315	402	842	506	1321	294	340	585	372	636	602	694	553	495	773	1299	1606	267	31	46	176	49	7	30	13	24	1	17	33	35	17	121	24	38	165	245	41	31	147	167	191	24	93	107	163	19	74	59	6	138	15	26	21	103	43	561	136	210	242	318	251	7	280	273	247	601	324	362	23	26	7	36	5	858	5	12	182	319	1029	145
OTU391	66	33	42	1	323	56	76	66	621	99	63	68	109	49	93	82	203	30	143	395	115	74	4	7	699	43	4	5	1	2	1	4	18	3	11	107	2	36	91	117	3	4	32	70	18	3	77	48	42	15	225	3	3	10	17	12	13	9	4	51	17	38	19	45	85	1	28	103	17	5	45	10	7	8	4	0	9	7	3	2	22	81	18	10
OTU523	25	10	0	0	0	12	0	3	60	9	11	32	80	48	19	0	0	0	6	44	3	84	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	2	1	1	32	0	1	14	0	1	0	0	2	0	0	16	0	0	0	0	0	0	0	0	0	5	6	0
OTU268	240	94	136	7	368	156	550	54	526	117	643	134	249	176	227	63	575	25	177	801	757	206	24	21	491	163	14	16	8	16	33	15	62	15	18	194	9	166	44	352	23	22	82	164	36	22	105	163	58	98	89	51	22	28	53	68	47	34	36	432	122	151	143	159	456	5	247	316	190	25	38	34	39	32	27	30	18	19	40	25	96	632	31	7
OTU12	271	488	188	30	156	328	286	4807	2261	430	91	297	344	233	304	1191	670	4003	762	478	408	367	91	72	514	132	17	203	24	1032	5	34	179	42	45	300	35	239	401	1265	66	69	200	229	942	39	108	98	118	48	44	83	12	604	24	92	41	135	53	210	58	247	104	234	470	13	68	122	92	367	220	133	48	34	14	49	45	731	5	27	324	200	1803	440
OTU3	5051	176	1827	100	79	178	3762	542	6172	388	5305	2291	5632	2006	660	99	2470	173	954	10233	8690	2605	35	42	19	20	17	9	14	12	46	5	7	11	3	127	3	20	2	53	34	6	8	21	7	6	13	10	63	43	0	31	6	20	1	15	12	32	12	12954	8379	1270	3101	2508	7486	164	6018	1248	1807	4303	3330	8559	13	4	10	37	1	2837	16	15	811	1232	5042	3786
OTU21	1970	2260	340	91	769	2089	2189	2954	2072	783	1473	779	1375	2472	2280	1611	760	2210	3293	5440	5350	1508	740	1229	642	253	336	174	440	271	42	265	250	588	458	440	508	287	878	658	450	729	421	1211	1196	405	2739	2725	907	152	182	1742	170	366	411	357	204	1967	1245	1981	683	553	674	857	392	88	1223	367	1397	2425	477	1053	84	30	109	867	111	871	74	50	573	1135	1131	226
OTU894	50	55	21	1	250	94	99	16	343	79	90	32	102	42	97	44	123	10	148	377	187	117	4	1	371	40	5	3	4	3	7	7	29	5	6	45	5	35	49	80	7	6	13	39	16	11	69	197	26	65	64	20	5	8	36	21	17	12	15	75	20	22	22	21	62	1	32	47	35	33	44	35	5	4	5	5	15	25	10	3	22	119	45	1
OTU1554	77	10	6	0	1	6	48	3	21	4	47	25	9	65	4	5	11	9	53	103	71	19	4	5	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	1	1	2	3	0	3	1	1	2	5	0	0	0	0	1	0	0	1	4	2	20	14	2	7	8	8	0	18	5	18	61	10	29	0	0	0	0	0	14	2	0	29	27	21	11
OTU416	33	9	34	1	19	8	84	5	134	11	66	45	25	21	23	7	152	8	20	99	203	15	5	14	112	28	1	8	1	7	6	6	6	1	5	148	2	57	19	117	8	7	19	66	29	2	19	12	62	8	73	15	7	4	3	28	15	16	8	87	31	28	30	27	106	0	67	79	23	50	29	63	11	4	2	3	2	70	4	4	23	62	43	9
OTU45	388	38	14	6	52	254	1922	31	111	20	1646	38	256	350	35	7	124	38	108	412	2534	232	0	1	39	8	0	1	0	1	4	1	3	1	1	21	0	8	10	23	0	0	7	32	3	0	2	1	33	2	11	2	0	3	2	1	3	1	3	245	69	23	52	24	43	8	321	67	424	492	42	403	2	3	0	0	0	52	4	1	161	630	42	12
OTU90	425	127	44	2	159	320	172	80	224	146	204	260	345	296	397	290	74	35	267	393	263	115	16	90	9	5	7	0	17	9	5	6	7	23	8	20	10	3	2	27	28	5	42	20	52	26	9	28	23	6	1	48	7	4	1	6	27	238	83	486	96	128	133	118	62	1	112	63	175	114	40	52	9	1	6	93	2	58	6	5	104	170	92	20
OTU52	170	44	300	2	221	99	471	246	647	357	124	275	193	102	69	288	1728	40	85	267	405	55	26	46	495	89	4	23	3	11	2	10	44	8	37	174	8	71	84	223	20	11	170	129	62	16	53	41	147	22	89	19	6	46	13	32	19	17	23	445	49	361	134	340	270	5	105	424	71	167	542	95	18	30	6	22	6	392	5	20	63	288	726	234
OTU14	2246	1801	496	53	1267	1523	3154	491	4505	484	1819	656	1883	1156	1237	579	1436	293	2346	8230	10115	1237	49	96	3246	99	29	53	8	59	19	38	60	45	45	478	20	374	580	493	31	47	145	495	364	37	585	698	471	114	660	131	30	25	182	93	68	85	92	1361	571	423	468	339	739	26	844	715	479	1789	424	2618	62	10	29	38	53	752	11	14	590	3905	748	147
OTU299	67	0	7	0	1	0	161	1	6	1	73	3	13	23	9	0	17	5	33	64	134	3	0	2	0	3	2	0	0	0	9	0	1	0	1	5	0	2	0	1	0	0	0	4	0	0	0	2	4	5	0	3	0	0	0	1	6	0	1	56	153	0	22	17	1	3	105	23	21	33	18	115	1	0	1	1	0	1	4	11	10	41	24	0
OTU385	38	79	4	2	48	65	27	49	60	25	31	26	43	34	119	78	15	80	74	87	45	47	7	12	133	5	2	1	5	2	1	4	3	16	1	14	8	8	75	12	13	31	15	28	74	2	124	89	43	1	29	11	1	5	12	1	2	33	12	35	12	13	10	23	10	0	24	10	13	15	10	14	2	1	2	10	4	13	0	1	10	27	30	2
OTU322	96	170	4	4	8	104	64	8	17	5	105	4	139	421	118	12	4	7	507	301	116	1098	92	80	15	9	26	3	15	7	27	12	5	24	19	8	16	19	2	12	85	36	5	22	3	26	317	425	13	97	9	170	18	10	435	165	48	111	71	74	67	12	45	3	5	3	69	9	156	174	2	38	1	1	44	56	132	9	34	27	38	61	10	3
OTU717	45	32	34	3	144	47	97	47	150	85	65	40	47	62	29	107	258	13	103	112	198	55	9	16	416	58	3	5	6	7	10	4	43	9	5	55	4	51	76	75	9	6	91	150	40	7	49	36	68	28	74	11	2	27	16	22	12	7	5	51	32	34	26	56	38	1	27	66	33	50	43	16	12	13	6	11	5	54	10	7	14	69	42	6
OTU127	135	184	65	3	99	89	282	44	411	25	181	61	99	241	81	74	293	24	186	552	539	124	13	24	340	72	6	4	8	16	18	17	25	8	22	220	7	194	55	309	17	5	46	104	78	3	76	83	83	86	126	34	13	15	68	61	35	29	25	207	42	149	78	75	136	3	121	157	100	131	122	118	21	39	13	9	21	205	6	21	90	215	103	20
