"","OTU","Strain","ID"
"1","OTU143","LWS15",1
"2","OTU153","LWS13",1
"3","OTU564","LWS11",0.980555555555556
"4","OTU14","LWS11",0.977777777777778
"5","OTU143","LWS1",1
"6","OTU153","LWO8",1
"7","OTU15","LWO6",0.997222222222222
"8","OTU78","LWO5",1
"9","OTU153","LWO2",1
"10","OTU15","LWO15",0.997222222222222
"11","OTU223","LWO15",0.972222222222222
"12","OTU1612","LWO15",0.972222222222222
"13","OTU78","LWO14",1
"14","OTU78","LWO13",1
"15","OTU78","LWO12",1
"16","OTU153","LWH7",1
"17","OTU122","LWH5",0.986111111111111
"18","OTU153","LWH3",1
"19","OTU78","LWH13",1
"20","OTU78","LWH12",1
"21","OTU78","LWH11",1
"22","OTU78","LWH10",1
"23","OTU153","LWH1",1
"24","OTU158","LST82",1
"25","OTU158","LST72",1
"26","OTU158","LST61",1
"27","OTU158","LST60",1
"28","OTU158","LST521",1
"29","OTU158","LST52",1
"30","OTU158","LST28",1
"31","OTU158","LST27",1
"32","OTU223","LST26",1
"33","OTU158","LST25",1
"34","OTU158","LST24",1
"35","OTU158","LST23",1
"36","OTU158","LST22",0.997222222222222
"37","OTU158","LST21",1
"38","OTU158","LST20",1
"39","OTU158","LST19",1
"40","OTU158","LST18",0.997222222222222
"41","OTU158","LST17",1
"42","OTU158","LST16",1
"43","OTU158","LST15",1
"44","OTU158","LST14",1
"45","OTU158","LST13",1
"46","OTU158","LST12",1
"47","OTU158","LST11",1
"48","OTU12","LRH8.O",0.996363636363636
"49","OTU12","LRH13",1
"50","OTU12","LRH12",1
"51","OTU12","LRH11",1
"52","OTU12","LRC7.S",1
"53","OTU12","LRC7.O",1
"54","OTU629","LPE13",0.991689750692521
"55","OTU223","LPD34",1
"56","OTU223","LPD33",1
"57","OTU223","LPD32",1
"58","OTU223","LPD22",1
"59","OTU223","LPD21",1
"60","OTU223","LPD2",1
"61","OTU223","LPD121",1
"62","OTU15","LPD12",0.997222222222222
"63","OTU223","LPD12",0.972222222222222
"64","OTU1612","LPD12",0.972222222222222
"65","OTU15","LPD11",0.997222222222222
"66","OTU223","LPD11",0.972222222222222
"67","OTU1612","LPD11",0.972222222222222
"68","OTU223","LPB4.O",1
"69","OTU122","LPA21",0.997222222222222
"70","OTU122","LPA2",0.997222222222222
"71","OTU1240","LMZ1",0.988888888888889
"72","OTU62","LMZ1",0.983333333333333
"73","OTU15","LMY1",0.991666666666667
"74","OTU1612","LMY1",0.975
"75","OTU1240","LMX9231",0.988888888888889
"76","OTU62","LMX9231",0.977777777777778
"77","OTU1240","LMX92",0.988888888888889
"78","OTU62","LMX92",0.977777777777778
"79","OTU15","LMX9",1
"80","OTU223","LMX9",0.972222222222222
"81","OTU1612","LMX9",0.972222222222222
"82","OTU14","LMX8",0.983333333333333
"83","OTU2950","LMX8",0.977777777777778
"84","OTU362","LMX8",0.972222222222222
"85","OTU78","LMX7",1
"86","OTU78","LMX6",1
"87","OTU122","LMX5",0.977777777777778
"88","OTU15","LMX4",1
"89","OTU223","LMX4",0.972222222222222
"90","OTU1612","LMX4",0.972222222222222
"91","OTU78","LMX3",1
"92","OTU153","LMX3",0.991935483870968
"93","OTU1503","LMX3",0.983870967741935
"94","OTU388","LMX3",0.975806451612903
"95","OTU3420","LMX3",0.975806451612903
"96","OTU78","LMX2",1
"97","OTU15","LMX11",1
"98","OTU14","LMX1",0.983333333333333
"99","OTU362","LMX1",0.972222222222222
"100","OTU143","LMW1",0.994444444444444
"101","OTU14","LMW1",0.975
"102","OTU168","LMU1",0.997222222222222
"103","OTU1707","LMU1",0.972222222222222
"104","OTU3064","LMT1",0.972222222222222
"105","OTU168","LMS1",0.977777777777778
"106","OTU262","LMS1",0.977777777777778
"107","OTU1707","LMS1",0.975
"108","OTU1074","LMS1",0.972222222222222
"109","OTU118","LMQ1",0.991666666666667
"110","OTU3247","LMQ1",0.975
"111","OTU14","LMP1",1
"112","OTU14","LMO1",0.977777777777778
"113","OTU564","LMO1",0.977777777777778
"114","OTU1009","LMN1",1
"115","OTU14","LMM1",1
"116","OTU331","LML1",0.997222222222222
"117","OTU243","LMK1",0.997222222222222
"118","OTU143","LMJ1",0.986111111111111
"119","OTU14","LMJ1",0.983333333333333
"120","OTU564","LMJ1",0.975
"121","OTU78","LMI81",1
"122","OTU78","LMI62",1
"123","OTU78","LMI522",1
"124","OTU78","LMI51",1
"125","OTU78","LMI32",1
"126","OTU78","LMI2x",1
"127","OTU78","LMI22",1
"128","OTU153","LMI21",1
"129","OTU78","LMI1x",1
"130","OTU78","LMI18",1
"131","OTU78","LMI17",1
"132","OTU78","LMI15",1
"133","OTU78","LMI14",1
"134","OTU78","LMI13",1
"135","OTU78","LMI121",1
"136","OTU153","LMI12",1
"137","OTU78","LMI112",1
"138","OTU78","LMI111",1
"139","OTU78","LMI11",1
"140","OTU78","LMI1",0.983333333333333
"141","OTU143","LMH1",0.994444444444444
"142","OTU14","LMH1",0.975
"143","OTU717","LMG2",0.986111111111111
"144","OTU6","LMG2",0.977777777777778
"145","OTU19","LMG2",0.972222222222222
"146","OTU717","LMG1",0.997222222222222
"147","OTU19","LMG1",0.972222222222222
"148","OTU1240","LME3",0.988888888888889
"149","OTU62","LME3",0.977777777777778
"150","OTU14","LME2",0.986111111111111
"151","OTU362","LME2",0.980555555555556
"152","OTU14","LME1",0.986111111111111
"153","OTU362","LME1",0.980555555555556
"154","OTU564","LME1",0.972375690607735
"155","OTU122","LMD2",0.980555555555556
"156","OTU122","LMD1",0.980555555555556
"157","OTU243","LMC1",0.997222222222222
"158","OTU78","LMB2",1
"159","OTU14","LMA2",0.977777777777778
"160","OTU564","LMA2",0.977777777777778
"161","OTU5","LDE1",1
"162","OTU122","LBS1",0.980555555555556
"163","OTU78","LBO3",1
"164","OTU78","LBO11",0.977777777777778
"165","OTU153","LBO1",1
"166","OTU143","LBA71",0.994444444444444
"167","OTU14","LBA71",0.975
"168","OTU143","LBA3",0.994444444444444
"169","OTU14","LBA3",0.975
"170","OTU14","LBA21",1
"171","OTU14","LBA20",0.988919667590028
"172","OTU143","LBA18",0.997222222222222
"173","OTU14","LBA18",0.972222222222222
"174","OTU143","LBA112",0.994444444444444
"175","OTU14","LBA112",0.975
"176","OTU143","LBA111",0.994444444444444
"177","OTU14","LBA111",0.975
"178","OTU143","LBA1",0.994444444444444
"179","OTU14","LBA1",0.975
"180","OTU122","LAR21",0.997222222222222
"181","OTU104","LAR12",1
