"","ASV","ISO","values"
"1","ASV1","LSP13_27f",1
"2","ASV1","LSP13_1492r",1
"3","ASV1","LMA1_1492r",1
"4","ASV1","LMC3_1492r",1
"5","ASV1","LBH1_1492r",1
"6","ASV1","LBH2_1492r",1
"7","ASV1","LBH3_1492r",1
"8","ASV1","LBH4_1492r",1
"9","ASV1","LBH6_1492r",1
"10","ASV1","LBH7_1492r",1
"11","ASV1","LBO4_1492r",1
"12","ASV1","LBO6_1492r",1
"13","ASV1","LWH2_1492r",1
"14","ASV1","LWH4_1492r",1
"15","ASV1","LWH6_1492r",1
"16","ASV1","LWH8_1492r",1
"17","ASV1","LWH9_1492r",1
"18","ASV1","LWO4_1492r",1
"19","ASV1","LAT1_1492r",1
"20","ASV1","LTA5_1492r",1
"21","ASV1","LWS12_1492r",1
"22","ASV1","LWS2_1492r",0.997368421052632
"23","ASV2","LBH1_1492r",1
"24","ASV2","LBH4_1492r",1
"25","ASV2","LBH6_1492r",1
"26","ASV2","LWH2_1492r",1
"27","ASV2","LWH6_1492r",1
"28","ASV2","LWO4_1492r",1
"29","ASV2","LTA5_1492r",1
"30","ASV3","LBH1_1492r",1
"31","ASV3","LBH4_1492r",1
"32","ASV3","LBH6_1492r",1
"33","ASV3","LWH2_1492r",1
"34","ASV3","LWH6_1492r",1
"35","ASV3","LWO4_1492r",1
"36","ASV3","LTA5_1492r",1
"37","ASV4","LBH1_1492r",1
"38","ASV4","LBH4_1492r",1
"39","ASV4","LBH6_1492r",1
"40","ASV4","LWH2_1492r",1
"41","ASV4","LWH6_1492r",1
"42","ASV4","LWO4_1492r",1
"43","ASV4","LTA5_1492r",1
"44","ASV5","LBH1_1492r",1
"45","ASV5","LBH4_1492r",1
"46","ASV5","LBH6_1492r",1
"47","ASV5","LWH2_1492r",1
"48","ASV5","LWH6_1492r",1
"49","ASV5","LWO4_1492r",1
"50","ASV5","LTA5_1492r",1
"51","ASV6","LBH1_1492r",1
"52","ASV6","LBH4_1492r",1
"53","ASV6","LBH6_1492r",1
"54","ASV6","LWH2_1492r",1
"55","ASV6","LWH6_1492r",1
"56","ASV6","LWO4_1492r",1
"57","ASV6","LTA5_1492r",1
"58","ASV7","LDE1_27f",1
"59","ASV7","LBH1_1492r",1
"60","ASV7","LBH4_1492r",1
"61","ASV7","LBH6_1492r",1
"62","ASV7","LWH2_1492r",1
"63","ASV7","LWH6_1492r",1
"64","ASV7","LWO4_1492r",1
"65","ASV7","LAT1_1492r",1
"66","ASV7","LTA5_1492r",1
"67","ASV8","LBH1_1492r",1
"68","ASV8","LBH4_1492r",1
"69","ASV8","LBH6_1492r",1
"70","ASV8","LWH2_1492r",1
"71","ASV8","LWH6_1492r",1
"72","ASV8","LWO4_1492r",1
"73","ASV8","LTA5_1492r",1
"74","ASV9","LBH1_1492r",1
"75","ASV9","LBH4_1492r",1
"76","ASV9","LBH6_1492r",1
"77","ASV9","LWH2_1492r",1
"78","ASV9","LWH6_1492r",1
"79","ASV9","LWO4_1492r",1
"80","ASV9","LTA5_1492r",1
"81","ASV10","LBH1_1492r",1
"82","ASV10","LBH4_1492r",1
"83","ASV10","LBH6_1492r",1
"84","ASV10","LWH2_1492r",1
"85","ASV10","LWH6_1492r",1
"86","ASV10","LWO4_1492r",1
"87","ASV10","LTA5_1492r",1
"88","ASV11","LBH1_1492r",1
"89","ASV11","LBH4_1492r",1
"90","ASV11","LBH6_1492r",1
"91","ASV11","LWH2_1492r",1
"92","ASV11","LWH6_1492r",1
"93","ASV11","LWO4_1492r",1
"94","ASV11","LTA5_1492r",1
"95","ASV12","LBH1_1492r",1
"96","ASV12","LBH4_1492r",1
"97","ASV12","LBH6_1492r",1
"98","ASV12","LWH2_1492r",1
"99","ASV12","LWH6_1492r",1
"100","ASV12","LWO4_1492r",1
"101","ASV12","LTA5_1492r",1
"102","ASV13","LBH1_1492r",1
"103","ASV13","LBH4_1492r",1
"104","ASV13","LBH6_1492r",1
"105","ASV13","LWH2_1492r",1
"106","ASV13","LWH6_1492r",1
"107","ASV13","LWO4_1492r",1
"108","ASV13","LAT1_1492r",1
"109","ASV13","LTA5_1492r",1
"110","ASV13","LMG2_1492r",0.976623376623377
"111","ASV13","LMF1_1492r",0.971428571428571
"112","ASV14","LBH1_1492r",1
"113","ASV14","LBH4_1492r",1
"114","ASV14","LBH6_1492r",1
"115","ASV14","LWH2_1492r",1
"116","ASV14","LWH6_1492r",1
"117","ASV14","LWO4_1492r",1
"118","ASV14","LTA5_1492r",1
"119","ASV15","LBH1_1492r",1
"120","ASV15","LBH4_1492r",1
"121","ASV15","LBH6_1492r",1
"122","ASV15","LWH2_1492r",1
"123","ASV15","LWH6_1492r",1
"124","ASV15","LWO4_1492r",1
"125","ASV15","LTA5_1492r",1
"126","ASV16","LBH1_1492r",1
"127","ASV16","LBH4_1492r",1
"128","ASV16","LBH6_1492r",1
"129","ASV16","LWH2_1492r",1
"130","ASV16","LWH6_1492r",1
"131","ASV16","LWO4_1492r",1
"132","ASV16","LTA5_1492r",1
"133","ASV17","LBH1_1492r",1
"134","ASV17","LBH4_1492r",1
"135","ASV17","LBH6_1492r",1
"136","ASV17","LWH2_1492r",1
"137","ASV17","LWH6_1492r",1
"138","ASV17","LWO4_1492r",1
"139","ASV17","LTA5_1492r",1
"140","ASV18","LBH1_1492r",1
"141","ASV18","LBH4_1492r",1
"142","ASV18","LBH6_1492r",1
"143","ASV18","LWH2_1492r",1
"144","ASV18","LWH6_1492r",1
"145","ASV18","LWO4_1492r",1
"146","ASV18","LAT1_1492r",1
"147","ASV18","LTA5_1492r",1
"148","ASV18","LWS2_1492r",0.973684210526316
"149","ASV19","LBH1_1492r",1
"150","ASV19","LBH4_1492r",1
"151","ASV19","LBH6_1492r",1
"152","ASV19","LWH2_1492r",1
"153","ASV19","LWH6_1492r",1
"154","ASV19","LWO4_1492r",1
"155","ASV19","LTA5_1492r",1
"156","ASV20","LRH12_27f",1
"157","ASV20","LRH13_27f",1
"158","ASV20","LRH11_1492r",1
"159","ASV20","LRH12_1492r",1
"160","ASV20","LRH13_1492r",1
"161","ASV20","LRC7.O_27f",1
"162","ASV20","LRC7.S_1492r",1
"163","ASV20","LBH1_1492r",1
"164","ASV20","LBH4_1492r",1
"165","ASV20","LBH6_1492r",1
"166","ASV20","LWH2_1492r",1
"167","ASV20","LWH6_1492r",1
"168","ASV20","LWO4_1492r",1
"169","ASV20","LAT1_1492r",1
"170","ASV20","LTA5_1492r",1
"171","ASV20","LRH11_27f",0.997368421052632
"172","ASV21","LBA21_1492r",1
"173","ASV21","LMM1_1492r",1
"174","ASV21","LMP1_1492r",1
"175","ASV21","LBH1_1492r",1
"176","ASV21","LBH4_1492r",1
"177","ASV21","LBH6_1492r",1
"178","ASV21","LWH2_1492r",1
"179","ASV21","LWH6_1492r",1
"180","ASV21","LWO4_1492r",1
"181","ASV21","LAT1_1492r",1
"182","ASV21","LTA5_1492r",1
