"","compartment","OTU","family","p.value","p.value.signif"
"1","root","bOTU1009","Chitinophagaceae",0.121154056610545,"ns"
"2","rhizo","bOTU1009","Chitinophagaceae",0.178836717919158,"ns"
"3","root","bOTU104","Micrococcaceae",0.0289889870816405,"*"
"4","rhizo","bOTU104","Micrococcaceae",0.25032476336878,"ns"
"5","root","bOTU118","Rhizobiaceae",0.077213751583652,"ns"
"6","rhizo","bOTU118","Rhizobiaceae",0.515575436122368,"ns"
"7","root","bOTU12","Rhizobiaceae",0.231013295906442,"ns"
"8","rhizo","bOTU12","Rhizobiaceae",0.28982747964284,"ns"
"9","root","bOTU122","Micrococcaceae",0.0529010722401711,"ns"
"10","rhizo","bOTU122","Micrococcaceae",0.511555287679408,"ns"
"11","root","bOTU1240","Enterobacteriaceae",0.415717343253939,"ns"
"12","rhizo","bOTU1240","Enterobacteriaceae",0.873437273203491,"ns"
"13","root","bOTU14","Bacillaceae",0.0575816739904874,"ns"
"14","rhizo","bOTU14","Bacillaceae",0.0524580766806867,"ns"
"15","root","bOTU143","Bacillaceae",0.172503031893654,"ns"
"16","rhizo","bOTU143","Bacillaceae",0.225918985555328,"ns"
"17","root","bOTU15","Pseudomonadaceae",0.417621948530561,"ns"
"18","rhizo","bOTU15","Pseudomonadaceae",0.594518479062811,"ns"
"19","root","bOTU153","Microbacteriaceae",0.0310225814895964,"*"
"20","rhizo","bOTU153","Microbacteriaceae",0.0480167877448389,"*"
"21","root","bOTU158","Xanthomonadaceae",0.21078847656848,"ns"
"22","rhizo","bOTU158","Xanthomonadaceae",0.420660804577938,"ns"
"23","root","bOTU168","Oxalobacteraceae",0.811183866203141,"ns"
"24","rhizo","bOTU168","Oxalobacteraceae",0.412857758743671,"ns"
"25","root","bOTU1707","Oxalobacteraceae",0.876792010324189,"ns"
"26","rhizo","bOTU1707","Oxalobacteraceae",0.900892571074573,"ns"
"27","root","bOTU181","Moraxellaceae",0.396625358259993,"ns"
"28","rhizo","bOTU181","Moraxellaceae",0.189890811956442,"ns"
"29","root","bOTU184","Sphingomonadaceae",0.241075785831411,"ns"
"30","rhizo","bOTU184","Sphingomonadaceae",0.749852683323666,"ns"
"31","root","bOTU223","Pseudomonadaceae",0.150669807148088,"ns"
"32","rhizo","bOTU223","Pseudomonadaceae",0.136427031781069,"ns"
"33","root","bOTU243","Erwiniaceae",0.280819391506286,"ns"
"34","rhizo","bOTU243","Erwiniaceae",0.70668829217712,"ns"
"35","root","bOTU2841","Micrococcaceae",0.181092046415639,"ns"
"36","rhizo","bOTU2841","Micrococcaceae",0.91242646795478,"ns"
"37","root","bOTU3064","Sphingobacteriaceae",0.164183840996514,"ns"
"38","rhizo","bOTU3064","Sphingobacteriaceae",0.409734878836228,"ns"
"39","root","bOTU331","Nocardioidaceae",0.0265289279146533,"*"
"40","rhizo","bOTU331","Nocardioidaceae",0.000916583578596776,"***"
"41","root","bOTU564","Bacillaceae",0.398136097923379,"ns"
"42","rhizo","bOTU564","Bacillaceae",0.034754843196509,"*"
"43","root","bOTU6","Streptomycetaceae",0.225952983555504,"ns"
"44","rhizo","bOTU6","Streptomycetaceae",0.595035562795313,"ns"
"45","root","bOTU62","Enterobacteriaceae",0.120035282714958,"ns"
"46","rhizo","bOTU62","Enterobacteriaceae",0.0749838007845496,"ns"
"47","root","bOTU629","Paenibacillaceae",0.0836759692673424,"ns"
"48","rhizo","bOTU629","Paenibacillaceae",0.252878589611769,"ns"
"49","root","bOTU717","Streptomycetaceae",0.00589492079613558,"**"
"50","rhizo","bOTU717","Streptomycetaceae",0.0491868792643976,"*"
"51","root","bOTU78","Microbacteriaceae",0.079718011417624,"ns"
"52","rhizo","bOTU78","Microbacteriaceae",0.548133313020343,"ns"
