"","OTU","family",".y.","group1","group2","n1","n2","statistic","df","p","p.signif"
"1","ASV100","Streptomycetaceae","Abundance","WT","bx1",10,7,-0.13920772698126,14.5436353500864,0.891,"ns"
"2","ASV1000","Rhizobiaceae","Abundance","WT","bx1",10,7,-1.50234581315603,6.5492825668876,0.18,"ns"
"3","ASV1014","Pseudomonadaceae","Abundance","WT","bx1",10,7,1.32832461855509,9,0.217,"ns"
"4","ASV105","Micrococcaceae","Abundance","WT","bx1",10,7,0.643642862774559,14.5824563944432,0.53,"ns"
"5","ASV107","Burkholderiaceae","Abundance","WT","bx1",10,7,-0.785706005446267,12.4482896662059,0.447,"ns"
"6","ASV1078","Microbacteriaceae","Abundance","WT","bx1",10,7,0.398915259982088,14.9925632798013,0.696,"ns"
"7","ASV1182","Bacillaceae","Abundance","WT","bx1",10,7,0.516811897138107,9.19648894850102,0.617,"ns"
"8","ASV12","Xanthomonadaceae","Abundance","WT","bx1",10,7,-2.25744046998517,8.88997785805825,0.0507,"ns"
"9","ASV1317","Streptomycetaceae","Abundance","WT","bx1",10,7,1.24519191631377,11.7437393576174,0.237,"ns"
"10","ASV1322","Bacillaceae","Abundance","WT","bx1",10,7,0.0874424637716796,12.893131436127,0.932,"ns"
"11","ASV1520","Burkholderiaceae","Abundance","WT","bx1",10,7,0.555009937328262,12.3788534816116,0.589,"ns"
"12","ASV1521","Streptomycetaceae","Abundance","WT","bx1",10,7,0.956101764117881,12.2486902838551,0.358,"ns"
"13","ASV159","Pseudomonadaceae","Abundance","WT","bx1",10,7,0.518171472033332,14.8630721302321,0.612,"ns"
"14","ASV1598","Microbacteriaceae","Abundance","WT","bx1",10,7,0.877871294283986,12.8742112896849,0.396,"ns"
"15","ASV1656","Burkholderiaceae","Abundance","WT","bx1",10,7,-1.8921740371887,10.7168924684084,0.0858,"ns"
"16","ASV1708","Bacillaceae","Abundance","WT","bx1",10,7,1.2475583974298,14.9971600710533,0.231,"ns"
"17","ASV189","Pseudomonadaceae","Abundance","WT","bx1",10,7,2.07029318289096,9,0.0683,"ns"
"18","ASV190","Enterobacteriaceae","Abundance","WT","bx1",10,7,-2.0058909920926,6,0.0917,"ns"
"19","ASV2397","Streptomycetaceae","Abundance","WT","bx1",10,7,1.13605169205572,9.12050679547202,0.285,"ns"
"20","ASV247","Burkholderiaceae","Abundance","WT","bx1",10,7,-1.08617325315575,14.3679534385853,0.295,"ns"
"21","ASV2489","Bacillaceae","Abundance","WT","bx1",10,7,0.607395541667927,14.661778864586,0.553,"ns"
"22","ASV2524","Streptomycetaceae","Abundance","WT","bx1",10,7,1.28506074140676,10.8536750218565,0.226,"ns"
"23","ASV2596","Streptomycetaceae","Abundance","WT","bx1",10,7,-0.673381906806278,8.53102371011914,0.519,"ns"
"24","ASV265","Streptomycetaceae","Abundance","WT","bx1",10,7,-1.09058495722659,6.97982886030801,0.312,"ns"
"25","ASV267","Burkholderiaceae","Abundance","WT","bx1",10,7,-1.54404740471709,9.27843337283646,0.156,"ns"
"26","ASV2957","Pseudomonadaceae","Abundance","WT","bx1",10,7,1.57447653113305,9,0.15,"ns"
"27","ASV3","Sphingomonadaceae","Abundance","WT","bx1",10,7,-0.202457749017813,9.06035707321646,0.844,"ns"
"28","ASV307","Pseudomonadaceae","Abundance","WT","bx1",10,7,-1.61302196833651,6,0.158,"ns"
"29","ASV31","Enterobacteriaceae","Abundance","WT","bx1",10,7,0.84642230630898,9.70848281625996,0.418,"ns"
